year,holiday_id,hebrew_date,gregorian_date
1982,rosh_hashana_1,א' תשרי,1982-09-18
1982,rosh_hashana_2,ב' תשרי,1982-09-19
1982,yom_kippur,י' תשרי,1982-09-27
1982,sukkot,"ט""ו תשרי",1982-10-02
1982,hoshana_raba,"כ""א תשרי",1982-10-08
1983,pesach,"ט""ו ניסן",1983-03-29
1983,pesach_7,"כ""א ניסן",1983-04-04
1983,yom_haatzmaut,ה' אייר,1983-04-19
1983,shavuot,ו' סיוון,1983-05-18
1983,rosh_hashana_1,א' תשרי,1983-09-08
1983,rosh_hashana_2,ב' תשרי,1983-09-09
1983,yom_kippur,י' תשרי,1983-09-17
1983,sukkot,"ט""ו תשרי",1983-09-22
1983,hoshana_raba,"כ""א תשרי",1983-09-28
1984,pesach,"ט""ו ניסן",1984-04-17
1984,pesach_7,"כ""א ניסן",1984-04-23
1984,yom_haatzmaut,ה' אייר,1984-05-08
1984,shavuot,ו' סיוון,1984-06-06
1984,rosh_hashana_1,א' תשרי,1984-09-27
1984,rosh_hashana_2,ב' תשרי,1984-09-28
1984,yom_kippur,י' תשרי,1984-10-06
1984,sukkot,"ט""ו תשרי",1984-10-11
1984,hoshana_raba,"כ""א תשרי",1984-10-17
1985,pesach,"ט""ו ניסן",1985-04-06
1985,pesach_7,"כ""א ניסן",1985-04-12
1985,yom_haatzmaut,ה' אייר,1985-04-25
1985,shavuot,ו' סיוון,1985-05-26
1985,rosh_hashana_1,א' תשרי,1985-09-16
1985,rosh_hashana_2,ב' תשרי,1985-09-17
1985,yom_kippur,י' תשרי,1985-09-25
1985,sukkot,"ט""ו תשרי",1985-09-30
1985,hoshana_raba,"כ""א תשרי",1985-10-06
1986,pesach,"ט""ו ניסן",1986-04-24
1986,pesach_7,"כ""א ניסן",1986-04-30
1986,yom_haatzmaut,ה' אייר,1986-05-14
1986,shavuot,ו' סיוון,1986-06-13
1986,rosh_hashana_1,א' תשרי,1986-10-04
1986,rosh_hashana_2,ב' תשרי,1986-10-05
1986,yom_kippur,י' תשרי,1986-10-13
1986,sukkot,"ט""ו תשרי",1986-10-18
1986,hoshana_raba,"כ""א תשרי",1986-10-24
1987,pesach,"ט""ו ניסן",1987-04-14
1987,pesach_7,"כ""א ניסן",1987-04-20
1987,yom_haatzmaut,ה' אייר,1987-05-05
1987,shavuot,ו' סיוון,1987-06-03
